Word,Tag
Dr,Provider
Gregory,Provider
M,Provider
Cowan,Provider
is,O
an,O
Immunologist,B-spec
at,O
Fortis,B-org
Hospital,I-org
Dr,Provider
Debra,Provider
H,Provider
Mescher,Provider
is,O
an,O
Internist,B-spec
Jordan,Provider
A,Provider
Sennett,Provider
is,O
an,O
Endocrinologist,B-spec
Colonoscopy,B-spec
Sigmoidoscopy,B-spec
large,O
Endoscope,B-spec
Enteroscopy,B-spec
Christian,Provider
Chu,Provider
MD,Provider
WeServeEveryone,Organisation
Clinic,Organisation
Monica,Patient
Latte,Patient
Patient,O
Name:,O
Monica,Patient
Latte,Patient
Home,O
Phone:,O
444-444-4444,O
Resp,O
Prov:,O
Carl,Provider
Savem,Provider
MRN:,O
MR-111-1111,O
Last,O
Refill:,O
#600,O
u,O
x,O
0,O
:,O
Carl,Provider
Jones,Provider
Jr.,Provider
MD,Provider
(08/27/2010),O
Provider:,O
Dr.,Provider
Carl,Provider
D.,Provider
Jose,Provider
MD,Provider
Location,O
of,O
Care:,O
WeServeEveryone,Organisation
Clinic,Organisation
Provider,O
Name,O
:,O
Dr.,Provider
Mousam,Provider
Singh,Provider
Second,O
Provider,O
:,O
Shivam,Provider
Singh,Provider
MD,Provider
Charles,Provider
F.,Provider
von,Provider
Gunten,,Provider
MD,Provider
PhD,O
breath,O
and,O
setting,O
goals,O
of,O
care,O
by,O
Dr.,Provider
Bligh.,Provider
•,O
I,O
have,O
discussed,O
these,O
recommendations,O
with,O
Dr.,Provider
Bligh,Provider
who,O
concurs.,O
Further,,O
I,O
Dr.,Provider
Bligh,Provider
has,O
asked,O
us,O
to,O
continue,O
to,O
follow,O
this,O
patient,O
during,O
his,O
hospitalization,O
Charles,Provider
Feelgood,Provider
MD,Provider
Program.,O
NewYork,O
NY:,O
Center,Organisation
to,Organisation
Advance,Organisation
Palliative,Organisation
Care,Organisation
2001.,O
Center,O
for,O
Palliative,O
Studies,O
San,O
Diego,O
